type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,probability,label,is_fraud,timestamp
CASH_OUT,5000.0,10000.0,5000.0,0.0,5000.0,0.0066,SAFE,0,2026-04-14T21:36:34.396582
CASH_OUT,5000.0,10000.0,5000.0,0.0,5000.0,0.0066,SAFE,0,2026-04-14T21:36:46.855346
TRANSFER,5000.0,10000.0,0.0,0.0,0.0,0.8758,HIGH RISK,1,2026-04-14T23:47:35.114634
CASH_OUT,5000.0,10000.0,50.0,0.0,0.0,0.6175,MEDIUM RISK,1,2026-04-14T23:59:09.210140
DEBIT,5000.0,10000.0,0.0,0.0,0.0,0.0457,SAFE,0,2026-04-15T00:06:37.806876
TRANSFER,5000.0,10000.0,0.0,0.0,0.0,0.8758,HIGH RISK,1,2026-04-15T00:06:47.974297
TRANSFER,5000.0,10000.0,0.0,0.0,0.0,0.8758,HIGH RISK,1,2026-04-15T00:06:53.951247
PAYMENT,5000.0,10000.0,5000.0,0.0,5000.0,0.0001,SAFE,0,2026-04-15T00:28:59.199290
PAYMENT,5000.0,10000.0,0.0,0.0,0.0,0.0015,SAFE,0,2026-04-15T00:29:14.587535
TRANSFER,5000.0,10000.0,0.0,0.0,0.0,0.8758,HIGH RISK,1,2026-04-15T00:29:27.765523
PAYMENT,5000.0,10000.0,9.0,0.0,5000.0,0.0014,SAFE,0,2026-04-15T00:31:17.041514
DEBIT,5000.0,10000.0,9.0,0.0,5000.0,0.0266,SAFE,0,2026-04-15T00:31:23.827576
TRANSFER,5000.0,10000.0,9.0,0.0,5000.0,0.2414,SAFE,0,2026-04-15T00:31:31.471604
TRANSFER,5000.0,10000.0,9.0,0.0,0.0,0.8758,HIGH RISK,1,2026-04-15T00:31:38.041242
TRANSFER,5000.0,10000.0,9.0,0.0,0.0,0.8758,HIGH RISK,1,2026-04-15T00:31:52.173087
TRANSFER,5000.0,10000.0,0.0,0.0,0.0,0.8758,HIGH RISK,1,2026-04-15T00:32:04.505362
TRANSFER,5000.0,10000.0,0.0,0.0,0.0,0.8758,HIGH RISK,1,2026-04-15T00:33:58.544855
